collection_name;card_number;card_name;tipoOrigem;image_url;rarity;quantity;set_name;condition;language;notes
DCR;17;Dark Flare Knight;Orica;;Common;1;Effect Fusion Monster;Mint;English;
DCR;18;Mirage Knight;Orica;;Common;1;Effect Monster;Mint;English;
DCR;21;Gyaku-Gire Panda;Orica;;Common;1;Effect Monster;Mint;English;
DCR;22;Blindly Loyal Goblin;Orica;;Common;1;Effect Monster;Mint;English;
DCR;23;Despair from the Dark;Orica;;Common;1;Effect Monster;Mint;English;
DCR;24;Maju Garzett;Orica;;Common;1;Effect Monster;Mint;English;
DCR;25;Fear from the Dark;Orica;;Common;1;Effect Monster;Mint;English;
DCR;26;Dark Scorpion - Chick the Yellow;Orica;;Common;1;Effect Monster;Mint;English;
DCR;27;D.D. Warrior Lady;Orica;;Common;1;Effect Monster;Mint;English;
DCR;30;A Deal with Dark Ruler;Orica;;Common;1;Quick-Play Spell Card;Mint;English;
DCR;31;Contract with Exodia;Orica;;Common;1;Normal Spell Card;Mint;English;
DCR;32;Butterfly Dagger - Elma;Orica;;Common;1;Equip Spell Card;Mint;English;
DCR;33;Shooting Star Bow - Ceal;Orica;;Common;1;Equip Spell Card;Mint;English;
DCR;35;Wicked-Breaking Flamberge - Baou;Orica;;Common;1;Equip Spell Card;Mint;English;
DCR;36;Rod of Silence - Kay'est;Orica;;Common;1;Equip Spell Card;Mint;English;
DCR;38;Precious Cards from Beyond;Orica;;Common;1;Continuous Spell Card;Mint;English;
DCR;39;Rod of the Mind's Eye;Orica;;Common;1;Equip Spell Card;Mint;English;
DCR;40;Fairy of the Spring;Orica;;Common;1;Normal Spell Card;Mint;English;
DCR;43;Non-Spellcasting Area;Orica;;Common;1;Continuous Spell Card;Mint;English;
DCR;44;Different Dimension Gate;Orica;;Common;1;Continuous Spell Card;Mint;English;
DCR;46;Staunch Defender;Orica;;Common;1;Normal Trap Card;Mint;English;
DCR;47;Ojama Trio;Orica;;Common;1;Normal Trap Card;Mint;English;
DCR;48;Arsenal Robber;Orica;;Common;1;Normal Trap Card;Mint;English;
DCR;49;Skill Drain;Orica;;Common;1;Continuous Trap Card;Mint;English;
DCR;50;Really Eternal Rest;Orica;;Common;1;Normal Trap Card;Mint;English;
DCR;51;Kaiser Glider;Orica;;Common;1;Effect Monster;Mint;English;
DCR;52;Interdimensional Matter Transporter;Orica;;Common;1;Normal Trap Card;Mint;English;
DCR;54;Gagagigo;Orica;;Common;1;Normal Monster;Mint;English;
DCR;55;D.D. Trainer;Orica;;Common;1;Normal Monster;Mint;English;
DCR;56;Ojama Green;Orica;;Common;1;Normal Monster;Mint;English;
DCR;57;Archfiend Soldier;Orica;;Common;1;Normal Monster;Mint;English;
DCR;58;Pandemonium Watchbear;Orica;;Common;1;Effect Monster;Mint;English;
DCR;59;Sasuke Samurai 2;Orica;;Common;1;Effect Monster;Mint;English;
DCR;63;Great Maju Garzett;Orica;;Common;1;Effect Monster;Mint;English;
DCR;65;Goblin of Greed;Orica;;Common;1;Effect Monster;Mint;English;
DCR;66;Mefist the Infernal General;Orica;;Common;1;Effect Monster;Mint;English;
DCR;68;Shadowknight Archfiend;Orica;;Common;1;Effect Monster;Mint;English;
DCR;69;Darkbishop Archfiend;Orica;;Common;1;Effect Monster;Mint;English;
DCR;70;Desrook Archfiend;Orica;;Common;1;Effect Monster;Mint;English;
DCR;72;Terrorking Archfiend;Orica;;Common;1;Effect Monster;Mint;English;
DCR;75;Tsukuyomi;Orica;;Common;1;Spirit monster;Mint;English;
DCR;81;Legendary Flame Lord;Orica;;Common;1;Effect Ritual Monster;Mint;English;
DCR;82;Dark Master - Zorc;Orica;;Common;1;Effect Ritual Monster;Mint;English;
DCR;85;Incandescent Ordeal;Orica;;Common;1;Ritual Spell Card;Mint;English;
DCR;86;Contract with the Abyss;Orica;;Common;1;Ritual Spell Card;Mint;English;
DCR;87;Contract with the Dark Master;Orica;;Common;1;Ritual Spell Card;Mint;English;
DCR;89;Checkmate;Orica;;Common;1;Normal Spell Card;Mint;English;
DCR;90;Cestus of Dagla;Orica;;Common;1;Equip Spell Card;Mint;English;
DCR;93;Mustering of the Dark Scorpions;Orica;;Common;1;Normal Spell Card;Mint;English;
DCR;95;Altar for Tribute;Orica;;Common;1;Normal Trap Card;Mint;English;
DCR;96;Frozen Soul;Orica;;Common;1;Normal Trap Card;Mint;English;
DCR;98;Dark Scorpion Combination;Orica;;Common;1;Normal Trap Card;Mint;English;
DCR;99;Archfiend's Roar;Orica;;Common;1;Normal Trap Card;Mint;English;
DCR;100;Dice Re-Roll;Orica;;Common;1;Normal Trap Card;Mint;English;
DCR;101;Spell Vanishing;Orica;;Common;1;Counter Trap Card;Mint;English;
DOR;1;Alpha The Magnet Warrior;Orica;;Common;1;Normal Monster;Mint;English;
DOR;3;Gamma The Magnet Warrior;Orica;;Common;1;Normal Monster;Mint;English;
DR2;44;Dimension Distortion;Orica;;Common;1;Normal Spell Card;Mint;English;
DR2;113;Gogiga Gagagigo;Orica;;Common;1;Normal Monster;Mint;English;
DR2;119;The Agent of Wisdom - Mercury;Orica;;Common;1;Effect Monster;Mint;English;
DR2;121;The Agent of Force - Mars;Orica;;Common;1;Effect Monster;Mint;English;
DR2;122;The Unhappy Girl;Orica;;Common;1;Effect Monster;Mint;English;
DR2;126;Stone Statue of the Aztecs;Orica;;Common;1;Effect Monster;Mint;English;
DR2;127;Rocket Jumper;Orica;;Common;1;Effect Monster;Mint;English;
DR2;130;Gear Golem the Moving Fortress;Orica;;Common;1;Effect Monster;Mint;English;
DR2;132;Needle Burrower;Orica;;Common;1;Effect Monster;Mint;English;
DR2;146;Archlord Zerato;Orica;;Common;1;Effect Monster;Mint;English;
DR2;157;Goblin Thief;Orica;;Common;1;Normal Spell Card;Mint;English;
DR2;169;Gigobyte;Orica;;Common;1;Normal Monster;Mint;English;
DR2;170;Mokey Mokey;Orica;;Common;1;Normal Monster;Mint;English;
DR2;171;Kozaky;Orica;;Common;1;Normal Monster;Mint;English;
DR2;177;Aswan Apparition;Orica;;Common;1;Effect Monster;Mint;English;
DR2;178;Protector of the Sanctuary;Orica;;Common;1;Effect Monster;Mint;English;
DR2;183;3-Hump Lacooda;Orica;;Common;1;Effect Monster;Mint;English;
DR2;184;Ghost Knight of Jackal;Orica;;Common;1;Effect Monster;Mint;English;
DR2;186;Elephant Statue of Blessing;Orica;;Common;1;Effect Monster;Mint;English;
DR2;189;Emissary of the Afterlife;Orica;;Common;1;Effect Monster;Mint;English;
DR2;196;Emissary of the Oasis;Orica;;Common;1;Effect Monster;Mint;English;
DR2;198;Order to Charge;Orica;;Common;1;Quick-Play Spell Card;Mint;English;
DR2;203;Blessings of the Nile;Orica;;Common;1;Continuous Spell Card;Mint;English;
DR2;209;Delta Attacker;Orica;;Common;1;Normal Spell Card;Mint;English;
DR2;211;Triangle Power;Orica;;Common;1;Normal Spell Card;Mint;English;
DR2;212;The Third Sarcophagus;Orica;;Common;1;Continuous Spell Card;Mint;English;
DR2;213;The Second Sarcophagus;Orica;;Common;1;Continuous Spell Card;Mint;English;
DR2;214;The First Sarcophagus;Orica;;Common;1;Continuous Trap Card;Mint;English;
DR2;216;Judgment of the Desert;Orica;;Common;1;Continuous Trap Card;Mint;English;
DR2;217;Human-Wave Tactics;Orica;;Common;1;Continuous Trap Card;Mint;English;
IOC;23;Chaos Sorcerer;Orica;;Common;1;Effect Monster;Mint;English;
IOC;25;Black Luster Soldier - Envoy of the Beginning;Orica;;Common;1;Effect Monster;Mint;English;
IOC;76;Anti-Aircraft Flower;Orica;;Common;1;Effect Monster;Mint;English;
IOC;106;Curse of Darkness;Orica;;Common;1;Continuous Trap Card;Mint;English;
JUMP;8;Judgment of Pharaoh (as Judgment of the Pharaoh);Orica;;Common;1;Normal Trap Card;Mint;English;
LCJW;13;Meotoko;Orica;;Common;1;Normal Monster;Mint;English;
LCJW;43;Panther Warrior;Orica;;Common;1;Effect Monster;Mint;English;
LCJW;63;Giant Trunade;Orica;;Common;1;Normal Spell Card;Mint;English;
LCJW;65;Graceful Dice;Orica;;Common;1;Quick-Play Spell Card;Mint;English;
LCJW;66;Scapegoat;Orica;;Common;1;Quick-Play Spell Card;Mint;English;
LCJW;86;Harpie's Pet Dragon;Orica;;Common;1;Effect Monster;Mint;English;
LCJW;128;Spell of Pain;Orica;;Common;1;Quick-Play Spell Card;Mint;English;
LCKC;46;Crush Card Virus (two unique artworks);Orica;;Common;1;Normal Trap Card;Mint;English;
LOB;3;Flame Swordsman;Orica;;Common;1;Fusion Monster;Mint;English;
LOB;9;Mammoth Graveyard;Orica;;Common;1;Normal Monster;Mint;English;
LOB;10;Silver Fang;Orica;;Common;1;Normal Monster;Mint;English;
LOB;13;Nemuriko;Orica;;Common;1;Normal Monster;Mint;English;
LOB;15;Charubin the Fire Knight;Orica;;Common;1;Fusion Monster;Mint;English;
LOB;16;Flame Manipulator;Orica;;Common;1;Normal Monster;Mint;English;
LOB;19;Darkfire Dragon;Orica;;Common;1;Fusion Monster;Mint;English;
LOB;20;Dark King of the Abyss;Orica;;Common;1;Normal Monster;Mint;English;
LOB;22;Fusionist;Orica;;Common;1;Fusion Monster;Mint;English;
LOB;27;Aqua Madoor;Orica;;Common;1;Normal Monster;Mint;English;
LOB;28;Kagemusha of the Blue Flame;Orica;;Common;1;Normal Monster;Mint;English;
LOB;29;Flame Ghost;Orica;;Common;1;Fusion Monster;Mint;English;
LOB;31;Dissolverock;Orica;;Common;1;Normal Monster;Mint;English;
LOB;38;Masaki the Legendary Swordsman;Orica;;Common;1;Normal Monster;Mint;English;
LOB;43;Book of Secret Arts;Orica;;Common;1;Equip Spell Card;Mint;English;
LOB;45;Dragon Capture Jar;Orica;;Common;1;Continuous Trap Card;Mint;English;
LOB;53;Raigeki;Orica;;Common;1;Normal Spell Card;Mint;English;
LOB;61;Two-Pronged Attack;Orica;;Common;1;Normal Trap Card;Mint;English;
LOB;62;Mystical Elf;Orica;;Common;1;Normal Monster;Mint;English;
LOB;63;Tyhone;Orica;;Common;1;Normal Monster;Mint;English;
LOB;64;Beaver Warrior;Orica;;Common;1;Normal Monster;Mint;English;
LOB;65;Gravedigger Ghoul;Orica;;Common;1;Normal Spell Card;Mint;English;
LOB;66;Curse of Dragon;Orica;;Common;1;Normal Monster;Mint;English;
LOB;67;Karbonala Warrior;Orica;;Common;1;Fusion Monster;Mint;English;
LOB;72;Witty Phantom;Orica;;Common;1;Normal Monster;Mint;English;
LOB;74;Hard Armor;Orica;;Common;1;Normal Monster;Mint;English;
LOB;77;M-Warrior #2;Orica;;Common;1;Normal Monster;Mint;English;
LOB;81;Frenzied Panda;Orica;;Common;1;Normal Monster;Mint;English;
LOB;83;Meda Bat;Orica;;Common;1;Normal Monster;Mint;English;
LOB;84;Enchanting Mermaid;Orica;;Common;1;Normal Monster;Mint;English;
LOB;85;Fireyarou;Orica;;Common;1;Normal Monster;Mint;English;
LOB;86;Dragoness the Wicked Knight;Orica;;Common;1;Fusion Monster;Mint;English;
LOB;88;Dark Energy;Orica;;Common;1;Equip Spell Card;Mint;English;
LOB;92;Dragon Treasure;Orica;;Common;1;Equip Spell Card;Mint;English;
LOB;95;Stop Defense;Orica;;Common;1;Normal Spell Card;Mint;English;
LOB;96;Machine Conversion Factory;Orica;;Common;1;Equip Spell Card;Mint;English;
LOB;98;Follow Wind;Orica;;Common;1;Equip Spell Card;Mint;English;
LOB;99;Goblin's Secret Remedy;Orica;;Common;1;Normal Spell Card;Mint;English;
LOB;100;Final Flame;Orica;;Common;1;Normal Spell Card;Mint;English;
LOB;102;Metal Dragon;Orica;;Common;1;Fusion Monster;Mint;English;
LOB;104;Tripwire Beast;Orica;;Common;1;Normal Monster;Mint;English;
LOB;106;Armed Ninja;Orica;;Common;1;Flip monster;Mint;English;
LOB;107;Flower Wolf;Orica;;Common;1;Fusion Monster;Mint;English;
LOB;108;Man-Eater Bug;Orica;;Common;1;Flip monster;Mint;English;
LOB;115;Drooling Lizard;Orica;;Common;1;Normal Monster;Mint;English;
LOB;117;Succubus Knight;Orica;;Common;1;Normal Monster;Mint;English;
LOB;120;Right Leg of the Forbidden One;Orica;;Common;1;Normal Monster;Mint;English;
LOB;121;Left Leg of the Forbidden One;Orica;;Common;1;Normal Monster;Mint;English;
LOB;122;Right Arm of the Forbidden One;Orica;;Common;1;Normal Monster;Mint;English;
LOB;123;Left Arm of the Forbidden One;Orica;;Common;1;Normal Monster;Mint;English;
LOB;124;Exodia the Forbidden One;Orica;;Common;1;Effect Monster;Mint;English;
LOB;125;Gaia the Dragon Champion;Orica;;Common;1;Fusion Monster;Mint;English;
LOD;3;Lesser Fiend;Orica;;Common;1;Effect Monster;Mint;English;
LOD;14;Soul Demolition;Orica;;Common;1;Continuous Trap Card;Mint;English;
LOD;19;Ryu Senshi;Orica;;Common;1;Effect Fusion Monster;Mint;English;
LOD;33;Emergency Provisions;Orica;;Common;1;Quick-Play Spell Card;Mint;English;
LOD;34;Tyrant Dragon;Orica;;Common;1;Effect Monster;Mint;English;
LOD;44;A Wingbeat of Giant Dragon;Orica;;Common;1;Normal Spell Card;Mint;English;
LOD;66;Susa Soldier;Orica;;Common;1;Spirit monster;Mint;English;
LOD;67;Yamata Dragon;Orica;;Common;1;Spirit monster;Mint;English;
LOD;73;Super Robolady;Orica;;Common;1;Effect Fusion Monster;Mint;English;
LOD;74;Super Roboyarou;Orica;;Common;1;Effect Fusion Monster;Mint;English;
LOD;82;Spiritual Energy Settle Machine;Orica;;Common;1;Continuous Spell Card;Mint;English;
LOD;87;Magic Reflector;Orica;;Common;1;Normal Spell Card;Mint;English;
LOD;96;Nutrient Z;Orica;;Common;1;Normal Trap Card;Mint;English;
LON;1;The Masked Beast;Orica;;Common;1;Ritual Monster;Mint;English;
LON;2;Swordsman of Landstar;Orica;;Common;1;Normal Monster;Mint;English;
LON;5;Humanoid Worm Drake;Orica;;Common;1;Fusion Monster;Mint;English;
LON;7;Flying Fish;Orica;;Common;1;Normal Monster;Mint;English;
LON;8;Amphibian Beast;Orica;;Common;1;Normal Monster;Mint;English;
LON;9;Shining Abyss;Orica;;Common;1;Normal Monster;Mint;English;
LON;10;Gadget Soldier;Orica;;Common;1;Normal Monster;Mint;English;
LON;11;Grand Tiki Elder;Orica;;Common;1;Normal Monster;Mint;English;
LON;13;Nuvia the Wicked;Orica;;Common;1;Effect Monster;Mint;English;
LON;16;Curse of the Masked Beast;Orica;;Common;1;Ritual Spell Card;Mint;English;
LON;20;Mask of Brutality;Orica;;Common;1;Equip Spell Card;Mint;English;
LON;21;Return of the Doomed;Orica;;Common;1;Normal Spell Card;Mint;English;
LON;23;Tornado Wall;Orica;;Common;1;Continuous Trap Card;Mint;English;
LON;26;Jam Breeding Machine;Orica;;Common;1;Continuous Spell Card;Mint;English;
LON;32;Amazoness Archer;Orica;;Common;1;Effect Monster;Mint;English;
LON;34;Fire Princess;Orica;;Common;1;Effect Monster;Mint;English;
LON;37;Spirit of the Breeze;Orica;;Common;1;Effect Monster;Mint;English;
LON;38;Dancing Fairy;Orica;;Common;1;Effect Monster;Mint;English;
LON;39;Fairy Guardian;Orica;;Common;1;Effect Monster;Mint;English;
LON;41;Cure Mermaid;Orica;;Common;1;Effect Monster;Mint;English;
LON;45;St. Joan;Orica;;Common;1;Fusion Monster;Mint;English;
LON;47;Jar of Greed;Orica;;Common;1;Normal Trap Card;Mint;English;
LON;50;Mage Power;Orica;;Common;1;Equip Spell Card;Mint;English;
LON;55;Earthbound Spirit;Orica;;Common;1;Normal Monster;Mint;English;
LON;57;Boneheimer;Orica;;Common;1;Normal Monster;Mint;English;
LON;58;Flame Dancer;Orica;;Common;1;Normal Monster;Mint;English;
LON;61;Jowgen the Spiritualist;Orica;;Common;1;Effect Monster;Mint;English;
LON;64;Bazoo the Soul-Eater;Orica;;Common;1;Effect Monster;Mint;English;
LON;67;Spirit of Flames;Orica;;Common;1;Effect Monster;Mint;English;
LON;76;Maryokutai;Orica;;Common;1;Effect Monster;Mint;English;
LON;77;The Last Warrior from Another Planet;Orica;;Common;1;Effect Fusion Monster;Mint;English;
LON;78;Collected Power;Orica;;Common;1;Normal Trap Card;Mint;English;
LON;84;Deal of Phantom;Orica;;Common;1;Normal Trap Card;Mint;English;
LON;85;Destruction Punch;Orica;;Common;1;Normal Trap Card;Mint;English;
LON;86;Blind Destruction;Orica;;Common;1;Continuous Trap Card;Mint;English;
LON;95;Cyclon Laser;Orica;;Common;1;Equip Spell Card;Mint;English;
LON;96;Bait Doll;Orica;;Common;1;Normal Spell Card;Mint;English;
LON;99;Ekibyo Drakmord;Orica;;Common;1;Equip Spell Card;Mint;English;
MDP2;8;Meteor Dragon;Orica;;Common;1;Normal Monster;Mint;English;
MFC;10;Decayed Commander;Orica;;Common;1;Effect Monster;Mint;English;
MFC;101;Remove Brainwashing;Orica;;Common;1;Continuous Trap Card;Mint;English;
MFC;102;Disarmament;Orica;;Common;1;Normal Trap Card;Mint;English;
MFC;103;Anti-Spell;Orica;;Common;1;Counter Trap Card;Mint;English;
MFC;104;The Spell Absorbing Life;Orica;;Common;1;Normal Trap Card;Mint;English;
MFC;106;Double Spell;Orica;;Common;1;Normal Spell Card;Mint;English;
MFC;11;Zombie Tiger;Orica;;Common;1;Union monster;Mint;English;
MFC;15;Des Dendle;Orica;;Common;1;Union monster;Mint;English;
MFC;16;Burning Beast;Orica;;Common;1;Union monster;Mint;English;
MFC;17;Freezing Beast;Orica;;Common;1;Union monster;Mint;English;
MFC;18;Union Rider;Orica;;Common;1;Effect Monster;Mint;English;
MFC;19;D.D. Crazy Beast;Orica;;Common;1;Effect Monster;Mint;English;
MFC;2;Oppressed People;Orica;;Common;1;Normal Monster;Mint;English;
MFC;20;Spell Canceller;Orica;;Common;1;Effect Monster;Mint;English;
MFC;21;Neko Mane King;Orica;;Common;1;Effect Monster;Mint;English;
MFC;22;Helping Robo for Combat (as Helping Robo For Combat);Orica;;Common;1;Effect Monster;Mint;English;
MFC;23;Dimension Jar;Orica;;Common;1;Flip monster;Mint;English;
MFC;24;Great Phantom Thief;Orica;;Common;1;Effect Monster;Mint;English;
MFC;25;Roulette Barrel;Orica;;Common;1;Effect Monster;Mint;English;
MFC;26;Paladin of White Dragon;Orica;;Common;1;Effect Ritual Monster;Mint;English;
MFC;27;White Dragon Ritual;Orica;;Common;1;Ritual Spell Card;Mint;English;
MFC;28;Frontline Base;Orica;;Common;1;Continuous Spell Card;Mint;English;
MFC;29;Demotion;Orica;;Common;1;Equip Spell Card;Mint;English;
MFC;30;Combination Attack;Orica;;Common;1;Quick-Play Spell Card;Mint;English;
MFC;32;Autonomous Action Unit;Orica;;Common;1;Equip Spell Card;Mint;English;
MFC;33;Poison of the Old Man;Orica;;Common;1;Quick-Play Spell Card;Mint;English;
MFC;34;Ante;Orica;;Common;1;Normal Spell Card;Mint;English;
MFC;35;Dark Core;Orica;;Common;1;Normal Spell Card;Mint;English;
MFC;36;Raregold Armor;Orica;;Common;1;Equip Spell Card;Mint;English;
MFC;37;Metalsilver Armor;Orica;;Common;1;Equip Spell Card;Mint;English;
MFC;38;Kishido Spirit;Orica;;Common;1;Continuous Spell Card;Mint;English;
MFC;39;Tribute Doll;Orica;;Common;1;Normal Spell Card;Mint;English;
MFC;40;Wave-Motion Cannon;Orica;;Common;1;Continuous Spell Card;Mint;English;
MFC;43;Spell Shield Type-8;Orica;;Common;1;Counter Trap Card;Mint;English;
MFC;44;Meteorain;Orica;;Common;1;Normal Trap Card;Mint;English;
MFC;45;Pineapple Blast;Orica;;Common;1;Normal Trap Card;Mint;English;
MFC;46;Secret Barrel;Orica;;Common;1;Normal Trap Card;Mint;English;
MFC;50;Adhesion Trap Hole;Orica;;Common;1;Normal Trap Card;Mint;English;
MFC;54;YZ-Tank Dragon;Orica;;Common;1;Effect Fusion Monster;Mint;English;
MFC;55;Great Angus;Orica;;Common;1;Normal Monster;Mint;English;
MFC;56;Aitsu;Orica;;Common;1;Normal Monster;Mint;English;
MFC;57;Sonic Duck;Orica;;Common;1;Normal Monster;Mint;English;
MFC;58;Luster Dragon;Orica;;Common;1;Normal Monster;Mint;English;
MFC;59;Amazoness Paladin;Orica;;Common;1;Effect Monster;Mint;English;
MFC;60;Amazoness Fighter;Orica;;Common;1;Effect Monster;Mint;English;
MFC;62;Amazoness Blowpiper;Orica;;Common;1;Effect Monster;Mint;English;
MFC;64;Skilled White Magician;Orica;;Common;1;Effect Monster;Mint;English;
MFC;66;Apprentice Magician;Orica;;Common;1;Effect Monster;Mint;English;
MFC;68;Chaos Command Magician;Orica;;Common;1;Effect Monster;Mint;English;
MFC;7;Dark Blade;Orica;;Common;1;Normal Monster;Mint;English;
MFC;75;Armor Exe;Orica;;Common;1;Effect Monster;Mint;English;
MFC;79;Magical Merchant;Orica;;Common;1;Flip monster;Mint;English;
MFC;8;Pitch-Dark Dragon;Orica;;Common;1;Union monster;Mint;English;
MFC;81;Cat's Ear Tribe;Orica;;Common;1;Effect Monster;Mint;English;
MFC;82;Ultimate Obedient Fiend;Orica;;Common;1;Effect Monster;Mint;English;
MFC;84;Amazoness Spellcaster;Orica;;Common;1;Normal Spell Card;Mint;English;
MFC;85;Continuous Destruction Punch;Orica;;Common;1;Continuous Spell Card;Mint;English;
MFC;87;Gather Your Mind;Orica;;Common;1;Normal Spell Card;Mint;English;
MFC;88;Mass Driver;Orica;;Common;1;Continuous Spell Card;Mint;English;
MFC;89;Senri Eye;Orica;;Common;1;Continuous Spell Card;Mint;English;
MFC;9;Kiryu;Orica;;Common;1;Union monster;Mint;English;
MFC;92;My Body as a Shield;Orica;;Common;1;Quick-Play Spell Card;Mint;English;
MFC;93;Spellbook Organization (as Pigeonholing Books of Spell);Orica;;Common;1;Quick-Play Spell Card;Mint;English;
MFC;94;Mega Ton Magical Cannon;Orica;;Common;1;Normal Spell Card;Mint;English;
MFC;98;Exhausting Spell;Orica;;Common;1;Normal Trap Card;Mint;English;
MP1;4;Slime Toad;Orica;;Common;1;Normal Monster;Mint;English;
MRD;0;Gate Guardian;Orica;;Common;1;Effect Monster;Mint;English;
MRD;1;Feral Imp;Orica;;Common;1;Normal Monster;Mint;English;
MRD;3;Summoned Skull;Orica;;Common;1;Normal Monster;Mint;English;
MRD;5;Armored Lizard;Orica;;Common;1;Normal Monster;Mint;English;
MRD;8;Harpie Lady;Orica;;Common;1;Normal Monster;Mint;English;
MRD;10;Kojikocy;Orica;;Common;1;Normal Monster;Mint;English;
MRD;11;Cocoon of Evolution;Orica;;Common;1;Effect Monster;Mint;English;
MRD;12;Crawling Dragon;Orica;;Common;1;Normal Monster;Mint;English;
MRD;14;Mask of Darkness;Orica;;Common;1;Flip monster;Mint;English;
MRD;15;Doma The Angel of Silence;Orica;;Common;1;Normal Monster;Mint;English;
MRD;16;White Magical Hat;Orica;;Common;1;Effect Monster;Mint;English;
MRD;17;Big Eye;Orica;;Common;1;Flip monster;Mint;English;
MRD;21;Water Omotics;Orica;;Common;1;Normal Monster;Mint;English;
MRD;22;Ground Attacker Bugroth;Orica;;Common;1;Normal Monster;Mint;English;
MRD;23;Petit Moth;Orica;;Common;1;Normal Monster;Mint;English;
MRD;26;Kazejin;Orica;;Common;1;Effect Monster;Mint;English;
MRD;27;Suijin;Orica;;Common;1;Effect Monster;Mint;English;
MRD;28;Mystic Lamp;Orica;;Common;1;Effect Monster;Mint;English;
MRD;29;Steel Scorpion;Orica;;Common;1;Effect Monster;Mint;English;
MRD;30;Ocubeam;Orica;;Common;1;Normal Monster;Mint;English;
MRD;31;Leghul;Orica;;Common;1;Effect Monster;Mint;English;
MRD;34;Blast Juggler;Orica;;Common;1;Effect Monster;Mint;English;
MRD;35;Jinzo #7;Orica;;Common;1;Effect Monster;Mint;English;
MRD;36;Magician of Faith;Orica;;Common;1;Flip monster;Mint;English;
MRD;38;Deepsea Shark;Orica;;Common;1;Fusion Monster;Mint;English;
MRD;39;Bottom Dweller;Orica;;Common;1;Normal Monster;Mint;English;
MRD;40;Destroyer Golem;Orica;;Common;1;Normal Monster;Mint;English;
MRD;41;Kaminari Attack;Orica;;Common;1;Fusion Monster;Mint;English;
MRD;43;Morinphen;Orica;;Common;1;Normal Monster;Mint;English;
MRD;44;Mega Thunderball;Orica;;Common;1;Normal Monster;Mint;English;
MRD;45;Tongyo;Orica;;Common;1;Normal Monster;Mint;English;
MRD;46;Empress Judge;Orica;;Common;1;Fusion Monster;Mint;English;
